ID,Phase,Priority,Area,Task,Impact,Effort,Dependencies,Acceptance criterion
P2-003,2,High,Workspace,"Add tasks, dates, notes and evidence lists",High,L,P2-001,Project dashboard supports full workflow
P2-004,2,High,Accounts,Add optional passwordless accounts,High,L,Deployment decision,Anonymous use remains available
P2-005,2,High,Accounts,Cross-device project sync,High,L,P2-004,Conflict handling and offline fallback
P2-006,2,Medium,Exports,Add project PDF/print/JSON/calendar exports,Medium,M,P2-003,Exports contain sources and current status
P2-007,2,High,Privacy,"Consent, export and deletion workflows",Very high,M,P2-004,User can manage/delete data
P2-008,2,High,Analytics,Measure project activation and retention,High,M,P2-003,7/30/90-day cohorts available
P3-001,3,Critical,Authority data,Build 20 authority source-complete profiles,Very high,XL,Source registry,Each passes local quality threshold
P3-002,3,High,Monitoring,Implement source hash/change detection,High,L,P3-001,"Changes create review tasks, not auto advice"
P3-003,3,High,Alerts,Build council-watch digest MVP,Very high,L,"P3-002,accounts",Official-source linked weekly digest
P3-004,3,High,Applications,Application watch pilot,Very high,XL,Accounts/data method,Reliable support for limited authorities
P3-005,3,High,Retention,Build what-changed feed,High,M,"P3-002,P3-004",Project dashboard shows meaningful changes
P3-006,3,Medium,Applications,Nearby decisions prototype,High,L,Data method,Official links and privacy controls
P4-001,4,High,Content,Rebuild 20 highest-value cornerstone guides,Very high,XL,P0 complete,Definitive page standard met
P4-002,4,High,Content,Create original diagram system,High,L,Design system,Accessible reusable project diagrams
P4-003,4,High,Local SEO,Publish first 25 validated local project pages,Very high,XL,Authority profiles,85/100 quality threshold
P4-004,4,High,Updates,Launch substantive planning updates hub,High,L,Editorial workflow,Updates map to affected evergreen pages
P4-005,4,High,Authority,Publish first original data report,Very high,XL,Data methodology,Downloadable methodology and coverage
P4-006,4,Medium,Case studies,Publish 20 structured case studies,High,L,Editorial sourcing,"Real/anonymized, source-safe examples"
P4-007,4,Medium,Digital PR,Build journalist and citation resource,High,M,P4-005,"Press-ready charts, notes and contacts"
P5-001,5,High,Scale,Expand cornerstone library to 100+,Very high,XL,Performance evidence,Update cadence and QA maintained
P5-002,5,High,Scale,Expand validated local pages to 500–900,Very high,XL,Winning cohorts only,No quality/index regression
P5-003,5,High,Alerts,Expand monitoring only to reliable authorities,Very high,XL,Pilot accuracy,Coverage/status disclosed
P5-004,5,Medium,Content,Build 50+ case-study library,High,L,Case-study process,Supports project and local clusters
P5-005,5,High,Email,Optimize useful weekly project/council digest,High,M,Alerts,Return visits without notification fatigue
P6-001,6,High,Data,Normalize decision times and outcomes,Very high,XL,Reliable coverage,Methodology and missingness published
P6-002,6,High,Data,Build council comparison dashboards,Very high,XL,P6-001,Coverage and definitions visible
P6-003,6,High,Data,Build refusal-reason taxonomy,High,XL,Document/data rights,Human-audited categories
P6-004,6,High,Authority,Publish annual State of Homeowner Planning report,Very high,XL,P6-001..003,"Original, citable report"
P6-005,6,Medium,Distribution,Create embeddable tools/widgets,High,L,Stable APIs/assets,Attribution and performance compliant
P6-006,6,High,Commercial,Build transparent referral handoff,High,L,Consent/privacy,Only after useful result; explicit consent

